env,method,seed,timestep,return,ep_length
car_flag,cgf,8,260000,-0.27649999999999997,38.65
car_flag,cgf,8,280000,-0.37150000000000005,38.15
car_flag,cgf,8,300000,-0.5704999999999999,38.05
car_flag,cgf,8,320000,-0.362,37.2
car_flag,cgf,8,340000,-0.07700000000000003,38.7
car_flag,cgf,8,360000,-0.576,38.6
car_flag,cgf,8,380000,-0.3725,38.25
car_flag,cgf,8,400000,-0.37150000000000005,38.15
car_flag,cgf,8,420000,-0.3730000000000001,38.3
car_flag,cgf,8,440000,-0.07649999999999998,38.65
car_flag,cgf,8,460000,-0.4704999999999999,38.05
car_flag,cgf,8,480000,-0.4685,37.85
car_flag,cgf,8,500000,-0.27049999999999996,38.05
car_flag,cgf,8,520000,-0.07600000000000001,38.6
car_flag,cgf,8,540000,-0.2645,37.45
car_flag,cgf,8,560000,0.0425,36.75
car_flag,cgf,8,580000,-0.9714999999999998,38.15
car_flag,cgf,8,600000,-0.5599999999999999,37.0
car_flag,cgf,8,620000,0.0405,36.95
car_flag,cgf,8,640000,-0.26050000000000006,37.05
car_flag,cgf,8,660000,-0.157,36.7
car_flag,cgf,8,680000,-0.25699999999999995,36.7
car_flag,cgf,8,700000,-0.352,36.2
car_flag,cgf,8,720000,-0.45600000000000007,36.6
car_flag,cgf,8,740000,-0.258,36.8
car_flag,cgf,8,760000,-0.5509999999999999,36.1
car_flag,cgf,8,780000,-0.255,36.5
car_flag,cgf,8,800000,-0.45249999999999996,36.25
car_flag,cgf,8,820000,-0.7550000000000001,36.5
car_flag,cgf,8,840000,-0.359,36.9
car_flag,cgf,8,860000,-0.15999999999999998,37.0
car_flag,cgf,8,880000,-0.46499999999999997,37.5
car_flag,cgf,8,900000,-0.35500000000000004,36.5
car_flag,cgf,8,920000,0.04300000000000001,36.7
car_flag,cgf,8,940000,-0.4535,36.35
car_flag,cgf,8,960000,-0.4600000000000001,37.0
car_flag,cgf,8,980000,-0.45149999999999996,36.15
car_flag,cgf,8,1000000,-0.751,36.1
car_flag,cgf,9,20000,-1.0804999999999998,99.05
car_flag,cgf,9,40000,-0.307,61.7
